Country,2014,2015,2016,2017,2018
Northern Mariana Islands,460,479,531,660,518
Norway,..,..,..,..,..
Oman,"2,225","2,634","3,207","3,178","3,242"
Pakistan,..,..,..,..,..
Palau,..,..,..,..,..
Panama,"2,305","2,553","2,379","2,517","2,487"
Papua New Guinea,191,199,198,182,195
Paraguay,"3,455","4,102","4,318","4,744","4,183"
Peru,"4,062","4,381","4,718","4,992","5,384"
Philippines,..,..,..,..,..
Poland,"73,750","77,743","80,476","83,804","85,946"
Portugal,..,..,..,..,..
Puerto Rico,"4,456","5,051","5,077","4,986","4,306"
Qatar,..,..,..,..,..
Reunion,..,..,..,551,574
Romania,"8,442","9,331","10,223","10,926","11,720"
Russia,"32,421","33,729","24,571","24,390","24,551"
Rwanda,"1,220","1,298","1,307",..,..
Saba,..,..,..,..,..
Saint Kitts And Nevis,818,"1,036","1,055","1,194","1,278"
Saint Lucia,987,"1,031",948,"1,064","1,165"
Saint Vincent And The Grenadines,205,207,227,303,356
Samoa,132,139,146,158,172
San Marino,"2,004","1,888","2,000","1,937","1,874"
Sao Tome And Principe,..,..,..,..,..
Saudi Arabia,"23,010","21,834","20,887","18,607","17,570"
Senegal,976,"1,014","1,219","1,376",..
Serbia,..,..,..,..,..
Seychelles,239,296,333,382,405
Sierra Leone,53,31,60,59,66
Singapore,"15,095","15,231","16,403","17,425","18,508"
Sint Eustatius,..,..,..,..,..
Sint Maarten,"2,502","2,407","2,197","1,640","1,775"
Slovakia,"17,400","21,550","23,092",..,..
Slovenia,..,..,..,..,..
Solomon Islands,..,..,..,..,..
Somalia,..,..,..,..,..
South Africa,"14,530","13,952","15,121","14,975","15,004"
South Sudan,..,..,..,..,..
Spain,"107,144","109,834","115,561","121,717","124,060"
Sri Lanka,"1,665","1,993","2,168","2,248","2,521"
Palestine,"2,907","2,054","2,604","2,919","3,093"
Sudan,..,..,..,..,..
Suriname,253,229,257,279,..
Sweden,"19,945",..,..,..,..
Switzerland,..,..,..,..,..
Syria,..,..,..,..,..
Taiwan Province Of China,"9,910","10,440","10,690","10,740","11,067"
Tajikistan,213,414,344,431,"1,035"
